2025-12-03T16:26:26.196467500 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier1.Status.ForwardPower = 2511 | Depois: PowerAmplifier1.Status.ForwardPower = 2511
2025-12-03T16:28:06.619133500 | DAC: 430 | Esperado: 20W | Antes: PowerAmplifier1.Status.ForwardPower = 5011 | Depois: PowerAmplifier1.Status.ForwardPower = 6606
2025-12-03T16:29:51.280787700 | DAC: 486 | Esperado: 67.3W | Antes: PowerAmplifier1.Status.ForwardPower = 19952 | Depois: PowerAmplifier1.Status.ForwardPower = 19952
2025-12-03T17:18:23.579628900 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 10000 | Depois: PowerAmplifier1.Status.ForwardPower = 9772
2025-12-03T17:20:07.723138400 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 1000 | Depois: PowerAmplifier1.Status.ForwardPower = 1258
2025-12-03T17:21:51.805086900 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier1.Status.ForwardPower = 2511 | Depois: PowerAmplifier1.Status.ForwardPower = 3162
2025-12-03T17:23:37.745445100 | DAC: 430 | Esperado: 20W | Antes: PowerAmplifier1.Status.ForwardPower = 5011 | Depois: PowerAmplifier1.Status.ForwardPower = 6606
2025-12-03T17:25:17.967488800 | DAC: 486 | Esperado: 67.3W | Antes: PowerAmplifier1.Status.ForwardPower = 19952 | Depois: PowerAmplifier1.Status.ForwardPower = 26302
2025-12-03T17:27:08.868217700 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 72443 | Depois: PowerAmplifier1.Status.ForwardPower = 72443
2025-12-03T17:28:50.210806200 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 1000 | Depois: PowerAmplifier1.Status.ForwardPower = 1258
2025-12-04T08:20:28.103745200 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T08:22:06.653309800 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T08:23:45.050197700 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T08:31:26.710110600 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T08:33:06.027609900 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T08:34:44.464145 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T08:36:25.292378200 | DAC: 430 | Esperado: 20W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T08:38:06.083144300 | DAC: 486 | Esperado: 67.3W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T08:39:56.658599600 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
2025-12-04T08:41:35.736372200 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 1 | Depois: PowerAmplifier1.Status.ForwardPower = 1
